Code Commune;Nom Commune;Nb -25;Nb 25-64;Nb 65+;Prop -25;Prop 25-64;Prop 65+;Taux Nat 1999-2010;Taux Mort 1999-2010
11245;Montgaillard;13;36;8;22.4;63.8;13.8;8.5;5.1
11246;Montgradail;13;30;17;21.7;50;28.3;4.4;10.2
11247;Monthaut;5;25;17;10.9;52.2;37;6.2;4.1
11248;Montirat;17;45;9;23.9;63.4;12.7;11.2;2.8
11249;Montjardin;31;50;17;31.3;51.5;17.2;8.7;9.6
11250;Montjoi;6;16;20;14.3;38.1;47.6;0;16.1
11251;Val-de-Dagne;155;381;194;21.2;52.2;26.6;6.9;12.2
11252;Montmaur;83;187;54;25.6;57.7;16.7;14;6.9
11253;Montolieu;145;345;276;18.9;45.1;36;7.7;21.9
11254;Montréal;552;961;408;28.7;50;21.2;12.3;16.7
11255;Montredon-des-Corbières;356;672;257;27.7;52.3;20;9.5;10.8
11256;Montséret;123;264;111;24.6;53;22.4;10.7;10.9
11257;Monze;50;109;36;25.5;55.9;18.6;11.3;14.5
11258;Moussan;556;980;269;30.8;54.3;14.9;12.8;7.5
11259;Moussoulens;285;522;134;30.3;55.5;14.3;12.6;5.5
11260;Mouthoumet;33;65;18;28.1;56.2;15.7;11;11
11261;Moux;143;315;144;23.7;52.4;23.9;7.6;12.1
11262;Narbonne;14488;25387;11164;28.4;49.7;21.9;11.6;10.4
11263;Nébias;62;132;75;23;49.1;27.9;5.3;10.7
11264;Névian;397;714;215;29.9;53.8;16.2;12;7.2
11265;Niort-de-Sault;0;12;17;0;40;60;5.7;19.8
11266;Port-la-Nouvelle;1408;2782;1523;24.6;48.7;26.7;11;12.7
11267;Ornaisons;333;638;262;27;51.7;21.3;11.3;12.7
11268;Orsans;26;48;17;28.4;52.6;18.9;3.8;8.4
11269;Ouveillan;637;1171;538;27.1;49.9;22.9;9.4;9.4
11270;Padern;17;61;52;12.8;47.2;40;8.8;19.5
11271;Palairac;5;18;10;16.1;54.8;29;0;3.8
11272;Palaja;659;1202;274;30.9;56.3;12.8;11.3;4.4
11273;Paraza;143;317;150;23.4;52;24.6;8.5;10.4
11274;Pauligne;77;200;59;22.9;59.6;17.5;9.6;12.2
11275;Payra-sur-l'Hers;48;88;32;28.3;52.4;19.3;10;8.4
11276;Paziols;112;286;125;21.4;54.7;23.9;7.6;12.3
11277;Pécharic-et-le-Py;5;13;12;16.7;43.3;40;3;8.9
11278;Pech-Luna;15;58;25;15;59;26;6.2;10.3
11279;Pennautier;694;1291;480;28.2;52.4;19.5;11.9;8
11280;Pépieux;241;488;273;24;48.7;27.2;6.7;12.4
11281;Pexiora;413;610;177;34.4;50.8;14.8;13.6;5.8
11282;Peyrefitte-du-Razès;12;30;9;23.3;58.1;18.6;12.7;8.5
11283;Peyrefitte-sur-l'Hers;21;41;13;27.4;54.8;17.8;11.1;5.6
11284;Peyrens;149;211;56;35.8;50.7;13.5;12.7;5.7
