Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021
01193;Izieu;24;64;5;42;17;68;9;36
01194;Jassans-Riottier;450;1849;349;1090;410;1970;358;1161
01195;Jasseron;119;515;94;287;134;540;91;331
01196;Jayat;65;406;74;260;72;398;69;264
01197;Journans;21;104;11;64;29;113;16;77
01198;Joyeux;18;93;21;54;18;84;9;56
01199;Jujurieux;136;682;152;408;123;625;91;398
01200;Labalme;11;72;13;48;11;65;13;41
01202;Lagnieu;476;2157;391;1310;456;2173;361;1335
01203;Laiz;91;372;63;229;80;407;56;260
01204;Le Poizat-Lalleyriat;33;237;37;154;47;227;38;157
01206;Lantenay;22;86;16;49;21;86;11;53
01207;Lapeyrouse;28;113;15;67;32;100;12;60
01208;Lavours;10;36;2;24;10;39;10;19
01209;Léaz;36;257;35;177;46;252;27;188
01210;Lélex;17;77;10;49;18;77;11;49
01211;Lent;87;447;73;293;81;422;57;277
01212;Lescheroux;52;221;41;135;45;207;35;120
01213;Leyment;109;459;78;273;108;478;75;295
01214;Leyssard;10;51;8;30;12;53;4;38
01215;Surjoux-Lhopital;12;52;11;24;17;44;4;28
01216;Lhuis;60;239;52;136;51;233;37;136
01219;Lompnas;17;53;11;29;13;52;6;29
01224;Loyettes;176;1031;189;691;150;1085;191;719
01225;Lurcy;38;118;17;70;31;123;15;70
01227;Magnieu;52;210;30;124;56;193;25;116
01228;Maillat;46;218;32;140;46;215;36;132
01229;Malafretaz;73;381;72;227;82;364;70;221
01230;Mantenay-Montlin;17;95;14;57;24;86;14;54
01231;Manziat;143;596;87;377;132;580;88;349
01232;Marboz;158;667;137;387;144;642;98;386
01233;Marchamp;10;50;10;26;14;38;8;20
01234;Marignieu;17;58;10;31;18;56;11;29
01235;Marlieux;65;359;65;237;57;345;59;220
01236;Marsonnas;58;314;49;197;68;306;48;200
01237;Martignat;114;528;91;321;116;522;72;336
01238;Massieux;183;835;163;511;160;857;134;540
01239;Massignieu-de-Rives;51;175;18;104;53;190;25;114
01240;Matafelon-Granges;47;223;23;137;63;194;26;121
01241;Meillonnas;103;430;53;275;102;415;52;260
01242;Mérignat;9;46;9;28;9;43;8;26
01243;Messimy-sur-Saône;94;403;78;232;93;408;73;241
01244;Meximieux;497;2408;467;1494;448;2575;457;1621
01245;Bohas-Meyriat-Rignat;64;283;36;200;47;276;33;180
01246;Mézériat;135;644;118;397;128;659;110;414
01247;Mijoux;27;106;14;63;30;91;12;52
01248;Mionnay;186;756;121;436;199;751;126;440
01249;Miribel;629;3101;478;2050;573;3210;531;2051
01250;Misérieux;115;619;146;349;125;639;145;379
01252;Mogneneins;58;248;33;158;57;239;31;150
01254;Montagnat;140;639;103;391;145;671;95;435
01255;Montagnieu;39;193;28;133;33;198;29;130
01257;Montanges;25;123;18;74;31;106;9;72
01258;Montceaux;91;376;61;220;94;370;49;229
01259;Montcet;41;229;34;156;38;235;37;157
01260;Le Montellier;25;101;14;67;21;97;13;60
01261;Monthieux;58;226;41;124;62;221;30;134
01262;Montluel;422;2131;409;1338;384;2182;455;1305
01263;Montmerle-sur-Saône;247;1125;216;683;226;1127;183;697
01264;Montracol;69;314;58;182;74;325;48;209
01265;Montréal-la-Cluse;260;1102;211;678;214;1115;194;661
01266;Montrevel-en-Bresse;197;695;158;370;167;761;142;422
01267;Nurieux-Volognat;59;324;71;177;76;299;55;184
01268;Murs-et-Gélignieux;13;64;11;45;9;67;8;47
01269;Nantua;156;1062;209;696;158;998;199;642
01272;Neuville-les-Dames;103;445;82;262;100;446;76;266
01273;Neuville-sur-Ain;120;571;109;352;110;527;68;339
01274;Les Neyrolles;29;198;45;121;32;200;41;130
01275;Neyron;158;791;142;456;193;784;143;482
01276;Niévroz;119;528;82;324;121;522;81;322
01277;Nivollet-Montgriffon;10;41;6;23;12;35;5;20
01279;Oncieu;7;21;3;13;5;23;3;12
01280;Ordonnaz;8;48;9;29;9;30;4;18
01281;Ornex;238;1487;229;1001;257;1568;220;1110
01282;Outriaz;15;83;12;56;15;69;3;51
01283;Oyonnax;1247;6698;1406;4057;1236;6568;1045;4275
01284;Ozan;56;253;40;159;54;231;38;137
01285;Parcieux;78;413;62;271;80;406;68;260
01286;Parves et Nattages;86;269;29;162;79;292;34;172
01288;Péron;152;989;149;676;164;934;119;663
01289;Péronnas;441;1808;455;961;392;1843;327;1074
01290;Pérouges;109;399;73;223;104;410;63;238
01291;Perrex;60;256;32;161;63;259;41;159
01293;Peyriat;12;44;7;20;17;44;5;28
01294;Peyrieu;66;283;46;173;64;281;41;174
01295;Peyzieux-sur-Saône;31;205;24;145;36;220;33;157
01296;Pirajoux;25;131;20;89;22;124;17;82
01297;Pizay;58;304;54;184;66;287;38;191
01298;Plagne;10;46;3;32;11;42;4;28
01299;Le Plantay;42;180;21;119;39;189;26;121
01301;Polliat;193;768;117;459;192;771;119;460
01302;Pollieu;16;55;5;29;21;44;4;23
01303;Poncin;93;542;102;334;106;516;90;333
01304;Pont-d'Ain;163;899;172;547;179;845;150;531
01305;Pont-de-Vaux;140;622;122;361;139;589;107;342
01306;Pont-de-Veyle;88;473;96;291;85;472;112;272
01307;Port;58;258;44;152;62;250;38;154
01308;Pougny;44;259;50;161;47;249;41;164
01309;Pouillat;6;25;5;16;4;24;2;16
01310;Prémeyzel;13;120;5;81;34;66;5;47
01311;Prémillieu;4;12;1;8;3;16;1;11
01313;Prévessin-Moëns;462;2905;418;2089;398;3074;417;2195
01314;Priay;106;556;81;365;110;544;81;357
01317;Ramasse;21;94;9;62;23;107;17;69
01318;Rancé;52;250;42;148;60;242;38;152
01319;Relevant;33;151;21;96;34;138;22;83
01320;Replonges;252;1162;196;736;229;1159;164;743
01321;Revonnas;40;272;43;185;44;279;51;188
01322;Reyrieux;304;1538;299;920;319;1589;291;994
01323;Reyssouze;65;313;46;190;77;280;43;172
01325;Rignieux-le-Franc;69;347;52;214;80;318;41;208
01328;Romans;31;175;31;111;33;177;22;124
01329;Rossillon;15;48;5;27;16;48;3;30
01330;Ruffieu;18;53;8;30;16;51;5;29
01331;Saint-Alban;14;65;8;37;20;62;10;38
01332;Saint-André-de-Bâgé;64;259;49;155;56;266;38;163
01333;Saint-André-de-Corcy;219;951;180;592;179;1027;177;630
01334;Saint-André-d'Huiriat;49;211;29;141;41;209;28;132
01335;Saint-André-le-Bouchoux;20;125;19;84;23;123;18;85
01336;Saint-André-sur-Vieux-Jonc;73;342;56;219;67;368;49;247
01337;Saint-Bénigne;89;382;61;234;87;398;58;252
01338;Groslée-Saint-Benoit;86;359;57;219;83;366;44;236
01339;Saint-Bernard;108;437;69;243;125;438;70;260
01342;Sainte-Croix;44;184;32;112;40;184;33;108
01343;Saint-Cyr-sur-Menthon;102;572;103;342;127;542;71;369
01344;Saint-Denis-lès-Bourg;466;1696;291;985;419;1802;250;1086
01345;Saint-Denis-en-Bugey;151;695;136;409;151;690;118;421
01346;Saint-Didier-d'Aussiat;56;264;41;163;60;261;42;163
01347;Saint-Didier-de-Formans;156;667;119;395;154;662;95;411
01348;Saint-Didier-sur-Chalaronne;199;926;166;558;202;931;168;565
01349;Saint-Éloi;33;140;16;90;33;157;26;98
01350;Saint-Étienne-du-Bois;161;771;137;454;181;741;118;462
01351;Saint-Étienne-sur-Chalaronne;97;497;82;320;95;498;78;323
01352;Saint-Étienne-sur-Reyssouze;30;177;27;119;31;160;19;111
01353;Sainte-Euphémie;127;578;103;360;115;580;90;363
01354;Saint-Genis-Pouilly;518;5117;784;3770;564;4792;678;3596
01355;Saint-Genis-sur-Menthon;27;154;24;95;35;139;16;96
01356;Saint-Georges-sur-Renon;11;69;11;40;17;58;9;38
01357;Saint-Germain-de-Joux;25;178;29;121;28;154;23;106
01358;Saint-Germain-les-Paroisses;27;116;15;71;29;118;18;73
01359;Saint-Germain-sur-Renon;21;76;10;49;17;77;12;44
01360;Saint-Jean-de-Gonville;111;654;80;461;113;648;77;460
01361;Saint-Jean-de-Niost;123;585;90;365;130;589;92;374
01362;Saint-Jean-de-Thurigneux;59;266;50;152;64;249;32;158
01363;Saint-Jean-le-Vieux;130;562;97;340;125;589;99;359
01364;Saint-Jean-sur-Reyssouze;48;229;32;150;48;215;31;137
01365;Saint-Jean-sur-Veyle;73;339;65;197;77;344;52;219
01366;Sainte-Julie;59;369;84;227;57;343;48;236
01367;Saint-Julien-sur-Reyssouze;37;223;47;139;37;194;36;121
01368;Saint-Julien-sur-Veyle;60;264;47;161;57;251;47;144
