Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010
01184;Hautecourt-Romanèche;242;31;156;55;223;26;149;48
01185;Plateau d'Hauteville;1716;307;992;416;1654;323;972;359
01187;Haut Valromey;234;40;142;52;194;21;133;40
01188;Illiat;192;40;119;33;179;21;128;30
01189;Injoux-Génissiat;352;73;229;50;339;59;232;48
01190;Innimond;38;3;21;14;32;5;18;10
01191;Izenave;53;5;34;15;47;10;30;7
01192;Izernore;736;135;481;120;754;108;526;119
01193;Izieu;66;6;39;21;63;6;41;16
01194;Jassans-Riottier;1977;424;1158;395;1938;351;1212;375
01195;Jasseron;457;72;293;92;467;79;292;96
01196;Jayat;331;45;228;58;307;44;212;52
01197;Journans;115;18;67;29;102;8;61;33
01198;Joyeux;84;16;54;14;69;7;51;11
01199;Jujurieux;682;117;438;127;656;118;407;131
01200;Labalme;61;14;37;10;63;7;45;11
01202;Lagnieu;2122;375;1348;398;2193;401;1356;436
01203;Laiz;378;74;217;88;387;65;240;82
01204;Le Poizat-Lalleyriat;228;36;150;42;200;21;138;41
01206;Lantenay;91;12;59;21;72;9;53;11
01207;Lapeyrouse;97;24;59;15;107;26;62;20
01208;Lavours;46;5;29;12;41;9;22;10
01209;Léaz;175;23;128;25;183;22;130;31
01210;Lélex;70;8;51;11;74;12;49;13
01211;Lent;440;72;281;86;419;49;291;79
01212;Lescheroux;221;36;143;42;198;32;128;38
01213;Leyment;429;82;307;40;434;89;313;32
01214;Leyssard;56;8;33;15;50;8;35;7
01215;Surjoux-Lhopital;39;4;28;7;40;5;26;8
01216;Lhuis;248;28;152;68;251;30;154;68
01219;Lompnas;52;7;34;11;46;7;33;6
01224;Loyettes;846;134;572;140;855;144;569;142
01225;Lurcy;129;23;82;24;121;12;81;28
01227;Magnieu;183;22;127;34;166;16;116;34
01228;Maillat;231;42;150;39;212;37;137;37
01229;Malafretaz;326;56;212;58;284;34;195;55
01230;Mantenay-Montlin;90;12;56;22;79;12;49;18
01231;Manziat;621;106;381;134;596;71;387;137
01232;Marboz;698;103;428;168;676;100;396;181
01233;Marchamp;31;3;25;4;27;1;20;5
01234;Marignieu;40;5;25;11;49;10;27;12
01235;Marlieux;276;48;188;40;273;43;188;42
01236;Marsonnas;320;60;200;60;291;42;190;59
01237;Martignat;520;82;333;105;524;73;345;106
01238;Massieux;797;138;480;179;822;138;503;181
01239;Massignieu-de-Rives;204;31;125;48;186;19;117;50
01240;Matafelon-Granges;235;22;165;48;203;22;147;34
01241;Meillonnas;443;75;257;111;423;65;257;101
01242;Mérignat;44;6;34;4;41;5;29;7
01243;Messimy-sur-Saône;380;51;250;79;394;54;264;76
