Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Taux de natalité annuel moyen 2015-2021;Taux de mortalité annuel moyen 2015-2021;Part des pers. âgées de - 15 ans 2021;Nb de pers. âgées de - de 25 ans 2021;Part des pers. âgées de - de 25 ans 2021;Nb de pers. âgées de 25 à 64 ans 2021;Part des pers. âgées de 25 à 64 ans 2021;Nb de pers. âgées de 65 ans ou + 2021;Part des pers. âgées de 65 ans ou + 2021;Nb de pers. âgées  de 75 ans ou plus 2021;Part des pers. âgées de 75 ans ou + 2021;Nb de pers. âgées de 80 ans ou + 2021;Part des pers. âgées de 80 ans ou + 2021
01098;Chazey-Bons;12.2;5.9;21.1;353;29.7;604;50.8;231;19.4;108;9.1;63;5.3
01099;Chazey-sur-Ain;10;6.1;19;439;27.5;894;55.9;267;16.7;123;7.7;91;5.7
01100;Cheignieu-la-Balme;6.1;9.8;13.7;28;21.4;55;42;48;36.6;23;17.6;16;12.2
01101;Chevillard;11.9;9.8;17.8;33;21.7;92;61.2;26;17.1;9;5.9;7;4.6
01102;Chevroux;9.6;6.4;22.5;301;30.9;536;55.1;136;14;61;6.3;43;4.4
01103;Chevry;13.6;1.9;24.2;732;32.4;1339;59.2;189;8.4;82;3.6;41;1.8
01104;Chézery-Forens;7.7;9.2;17.3;121;27.2;240;53.9;84;18.9;31;6.9;16;3.6
01105;Civrieux;15.1;3.5;21.9;615;32.1;1063;55.5;238;12.4;98;5.1;51;2.7
01106;Cize;9.6;11.6;20.7;49;27.9;88;49.7;39;22.3;28;15.6;21;11.7
01107;Cleyzieu;12.2;4.9;21.5;36;25.7;73;52.1;31;22.2;13;9;6;4.2
01108;Coligny;8.3;25.3;16.8;315;25.7;537;43.8;375;30.5;211;17.2;137;11.2
01109;Collonges;12;2.9;23.7;780;34.7;1252;55.7;217;9.6;81;3.6;39;1.7
01110;Colomieu;14;16.3;16.7;41;25;88;53.8;34;21.2;8;5.1;5;3.2
01111;Conand;12;4;21.2;40;29.5;66;49.2;29;21.2;10;7.6;9;6.8
01112;Condamine;17.9;5.3;22.8;154;32.7;269;56.9;49;10.4;17;3.6;11;2.3
01113;Condeissiat;11.3;6.7;21.4;248;30.4;433;53.2;134;16.4;61;7.5;48;5.9
01114;Confort;10.1;29.9;21.3;187;27.4;314;45.9;183;26.7;111;16.2;79;11.5
01115;Confrançon;12.1;4.4;21.7;436;32.3;734;54.4;179;13.2;80;5.9;42;3.1
01116;Contrevoz;9.7;10.4;20.6;123;25;245;49.7;125;25.3;64;13;36;7.2
01117;Conzieu;10.2;5.7;29.8;51;34.4;73;49;25;16.6;12;7.9;8;5.3
01118;Corbonod;8.9;17.9;17.8;342;26.4;687;53;266;20.6;133;10.2;87;6.7
01121;Corlier;10.3;7.3;17.2;36;31;65;55.2;16;13.8;4;3.4;4;3.4
01123;Cormoranche-sur-Saône;8.7;8.1;20;331;28.5;591;50.9;240;20.6;99;8.5;56;4.8
